BAY;ROW;Racking Forces Absolute Max(<150 KN);Racking Pitch Forces Absolute Max(<100 KN);Internal lashing force Absolute Max;Twistlock shear forces Absolute Max(<210 KN);Pressure Absolute Max(<848 KN);Lifting Absolute Max(<250 KN)
45;9;42.76;37.97;85.47;106.93;514.66;74.32
38;9;57.9;53.95;177.11;153.27;642.41;70.09
34;9;89.39;48.54;267.67;233.52;736.86;215.77
30;9;99.92;50.62;290.38;256.28;806.0;270.52
26;9;84.7;45.64;265.09;227.43;759.2;248.67
22;9;79.31;48.37;254.79;216.51;713.27;180.07
18;9;78.84;43.29;236.33;206.09;692.27;179.21
14;9;87.16;54.6;278.47;200.44;669.71;146.06
7;9;38.57;19.28;166.35;93.97;381.42;105.06
5;9;33.53;16.85;90.38;80.18;347.57;80.49
2;9;107.05;23.41;271.08;261.59;763.24;390.41
94;9;63.2;33.77;132.14;138.57;631.2;266.05
90;11;97.0;42.92;258.74;236.32;749.82;214.51
86;11;84.89;41.95;240.54;214.41;700.93;198.14
82;11;78.32;52.38;279.53;228.83;750.45;128.4
78;11;81.21;44.84;246.75;214.07;693.37;175.34
70;11;62.89;54.9;179.47;159.53;676.92;101.91
66;11;40.61;38.96;129.39;110.28;433.34;64.46
62;11;68.12;69.06;227.37;190.54;787.64;69.09
58;11;70.07;67.25;220.56;188.84;796.25;89.46
54;11;54.89;64.49;202.9;161.74;686.93;117.98
50;11;51.19;59.47;185.7;148.35;627.62;116.2
47;11;36.37;37.64;92.6;93.64;490.86;76.01
45;11;55.73;38.81;100.41;123.12;630.5;151.2
38;11;63.26;60.01;193.75;167.59;711.34;88.05
34;11;83.38;51.23;277.09;232.58;751.09;205.42
30;11;103.42;50.53;290.48;259.83;813.21;279.85
26;11;76.9;51.68;266.55;220.43;732.8;185.58
22;11;69.88;48.31;254.14;206.48;675.92;141.36
18;11;90.83;47.24;262.95;232.41;766.08;208.59
14;11;96.54;64.87;340.05;256.77;851.6;112.47
7;11;53.13;32.42;279.53;139.52;555.71;106.8
5;11;49.82;27.85;157.26;130.39;492.91;78.91
94;11;68.15;36.57;144.2;149.49;670.7;277.64
90;13;92.89;46.18;265.75;235.99;778.02;177.48
86;13;82.05;39.91;230.82;206.34;675.21;195.04
82;13;107.23;59.89;336.93;288.65;928.54;215.74
78;13;85.73;45.6;251.67;221.24;722.27;196.1
70;13;61.03;51.18;172.7;154.02;645.77;93.13
66;13;40.62;39.81;131.18;111.26;439.09;67.14
62;13;68.14;70.71;221.56;194.68;777.48;79.61
58;13;69.3;60.39;200.28;177.14;730.8;81.96
54;13;54.1;62.89;197.19;160.28;680.68;105.09
50;13;53.28;62.01;193.41;156.15;663.21;109.6
47;13;35.49;31.37;87.16;91.29;442.28;88.79
45;13;56.81;34.62;93.84;114.42;578.39;136.25
42;13;39.24;14.85;0.0;10.68;154.44;35.89
38;13;64.44;59.5;194.62;169.23;716.94;92.61
34;13;83.9;55.36;282.73;236.14;773.28;188.14
30;13;103.72;50.66;294.71;262.41;817.93;286.14
26;13;81.58;51.34;258.2;229.05;721.34;169.8
22;13;80.11;50.35;267.22;223.99;738.72;184.45
18;13;87.68;46.75;257.66;226.42;752.09;201.35
14;13;93.68;62.72;327.85;245.37;822.07;109.92
7;13;47.59;29.0;249.67;120.93;491.22;91.74
5;13;52.77;29.64;169.48;140.67;531.41;78.43
94;13;66.28;35.8;142.69;151.61;675.41;287.68
90;15;99.83;42.98;259.89;239.77;762.05;218.05
86;15;80.67;37.65;219.87;199.06;650.38;193.16
82;15;63.79;41.15;213.36;159.26;515.57;90.77
78;15;75.52;51.13;264.07;215.96;727.31;153.09
70;15;66.58;59.48;196.67;172.48;734.73;115.56
66;15;42.09;39.8;131.11;112.69;448.61;71.06
62;15;68.55;66.32;223.06;188.66;774.69;66.81
58;15;87.59;55.32;218.09;205.02;843.35;199.27
54;15;55.85;65.79;207.97;163.16;689.22;133.57
50;15;56.49;59.79;185.85;156.56;667.35;78.95
