X;Draft;Area
245.96;15.5;785.25
245.96;16.0;812.08
245.96;16.5;838.90
245.96;17.0;865.72
245.96;17.5;892.55
245.96;18.0;919.37
245.96;18.5;946.19
245.96;19.0;973.01
245.96;19.5;999.84
245.96;20.0;1026.66
245.96;20.5;1053.48
245.96;21.0;1080.31
245.96;21.5;1107.13
245.96;22.0;1133.95
245.96;22.5;1160.78
245.96;23.0;1187.60
245.96;23.5;1214.42
264.88;0.0;0.47
264.88;0.25;6.60
264.88;0.5;13.60
264.88;0.75;21.16
264.88;1.0;29.16
264.88;1.5;46.27
264.88;2.0;64.60
264.88;2.5;83.96
264.88;3.0;104.25
264.88;3.5;125.35
264.88;4.0;147.20
264.88;4.5;169.73
264.88;5.0;192.85
264.88;5.5;216.53
264.88;6.0;240.69
264.88;6.5;265.28
264.88;7.0;290.26
264.88;7.5;315.59
264.88;8.0;341.22
264.88;8.5;367.12
264.88;9.0;393.25
264.88;9.5;419.57
264.88;10.0;446.05
264.88;10.5;472.65
264.88;11.0;499.35
264.88;11.5;526.11
264.88;12.0;552.91
264.88;12.5;579.73
264.88;13.0;606.56
264.88;13.5;633.38
264.88;14.0;660.20
264.88;14.5;687.03
264.88;15.0;713.85
264.88;15.5;740.67
264.88;16.0;767.49
264.88;16.5;794.32
264.88;17.0;821.14
264.88;17.5;847.96
264.88;18.0;874.79
264.88;18.5;901.61
264.88;19.0;928.43
264.88;19.5;955.26
264.88;20.0;982.08
264.88;20.5;1008.90
264.88;21.0;1035.72
264.88;21.5;1062.55
264.88;22.0;1089.37
264.88;22.5;1116.19
264.88;23.0;1143.02
264.88;23.5;1169.84
283.80;0.0;0.26
283.80;0.25;4.16
283.80;0.5;8.93
283.80;0.75;14.29
283.80;1.0;20.10
283.80;1.5;32.86
283.80;2.0;46.87
283.80;2.5;61.97
283.80;3.0;78.04
283.80;3.5;95.00
283.80;4.0;112.81
283.80;4.5;131.40
283.80;5.0;150.74
283.80;5.5;170.80
283.80;6.0;191.53
283.80;6.5;212.90
283.80;7.0;234.87
283.80;7.5;257.42
283.80;8.0;280.48
283.80;8.5;304.03
283.80;9.0;328.02
283.80;9.5;352.43
283.80;10.0;377.21
283.80;10.5;402.33
283.80;11.0;427.76
283.80;11.5;453.46
283.80;12.0;479.40
283.80;12.5;505.55
283.80;13.0;531.88
283.80;13.5;558.36
283.80;14.0;584.95
283.80;14.5;611.64
